Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes,Class
114004,1279.3559999999998,451.3612557792678,323.7479960574839,0.8752802579062288,BOMBAY
117034,1265.9260000000002,425.92378748920083,351.21510887864844,0.9177095970112145,BOMBAY
126503,1326.9589999999998,475.7724585889127,339.3818867713859,0.9028085848572034,BOMBAY
128118,1360.135,504.02496418808596,,0.8702739456730508,BOMBAY
129409,1348.888,484.3644240425226,341.17265927397045,0.893763393618021,BOMBAY
129807,1356.314,493.24186401517875,336.4648369149118,0.8867220083925235,BOMBAY
130070,1362.228,486.7062301859641,343.11478303830853,0.8808204695362861,BOMBAY
131249,1374.898,521.1492463878016,323.7902564005205,0.8724989374616893,BOMBAY
131488,1368.233,485.89250090549723,345.6212635140756,0.8826242631535137,BOMBAY
132254,1358.1889999999999,497.76766836767126,339.63634182942565,0.9009449649681948,BOMBAY
132399,1335.884,486.8595672562704,346.5807118346411,0.9323029798927752,BOMBAY
132851,1369.46,511.97575052536484,333.40497318923224,0.8901762201759374,BOMBAY
132889,1373.51,499.64649301124314,339.90683953548296,0.8851874459115636,BOMBAY
133760,1369.7379999999998,481.26078234570275,354.6256634046364,0.8959032569174575,BOMBAY
134012,1385.807,517.7649124085161,331.91602368551924,0.8768959237393633,BOMBAY
134251,1391.532,523.6290209318202,327.67552035411416,0.8712464018097753,BOMBAY
135222,1371.6670000000001,495.10240981567415,348.78466864565985,0.9031499003886914,BOMBAY
135403,1381.9379999999999,523.2554269169152,332.1957763377854,0.8909657975385383,BOMBAY
135898,1385.644,509.44331761247787,341.490063612574,0.8894460242626047,BOMBAY
137075,1432.713,526.8980614634921,334.1175121300153,0.8391695475552645,BOMBAY
137115,1427.056,519.1997446148976,337.4746462803286,0.8460826712273392,BOMBAY
137358,1364.645,507.9858904326199,345.2228516988957,0.9268819953159733,BOMBAY
137518,1417.9439999999997,519.7799999097848,339.9302724401023,0.8595106317378766,BOMBAY
137748,1389.6339999999998,499.3705440885303,353.30131422707024,0.8963844275855574,BOMBAY
137890,1410.302,522.1875738907914,338.3644715130991,0.8712010537153962,BOMBAY
